GRIDCODE	CVE_ENTCVE_MUN	Fagricola	Areamun
644259	8037	0.012464356	112037805.1
644260	8037	0.013811399	112037805.1
645318	8037	0.060889577	112037805.1
645319	8037	0.073939583	112037805.1
645320	8037	0.002247626	112037805.1
646377	8037	0.025163829	112037805.1
646378	8037	0.054490912	112037805.1
646379	8037	0.045689155	112037805.1
647437	8037	0.015007953	112037805.1
647438	8037	0.039609425	112037805.1
649563	8037	0.011164724	112037805.1
649564	8037	0.017624768	112037805.1
650622	8037	0.030048485	112037805.1
651680	8037	0.022127682	112037805.1
651681	8037	0.014655891	112037805.1
652738	8037	0.002906263	112037805.1
652739	8037	0.048740865	112037805.1
653797	8037	0.024037559	112037805.1
653798	8037	0.007192013	112037805.1
654855	8037	0.000282132	112037805.1
654856	8037	0.020825095	112037805.1
655914	8037	0.038043755	112037805.1
655915	8037	0.004019778	112037805.1
656972	8037	0.022780887	112037805.1
656973	8037	0.048091487	112037805.1
658029	8037	0.013211586	112037805.1
658030	8037	0.056023897	112037805.1
658031	8037	0.076055459	112037805.1
658032	8037	0.006527471	112037805.1
659088	8037	0.033080506	112037805.1
659089	8037	0.071444736	112037805.1
659090	8037	0.050106945	112037805.1
660148	8037	0.036283137	112037805.1
660149	8037	0.001411064	112037805.1
