GRIDCODE	CVENTMUN	LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m)	LONG VIALIDAD x SENTIDO x CELDA	Fv
645318	08037	11428270.94	4508.994819	0.00039
645319	08037	11428270.94	42249.00882	0.00370
646389	08028	227769.3991	75902.34135	0.33324
647448	08028	227769.3991	13858.03298	0.06084
649563	08037	11428270.94	466.3643894	0.00004
649564	08037	11428270.94	8687.812917	0.00076
650621	08037	11428270.94	6333.451636	0.00055
650622	08037	11428270.94	8903.411359	0.00078
651673	08037	11428270.94	1115.334122	0.00010
651674	08037	11428270.94	1075.193261	0.00009
651679	08037	11428270.94	595.6755698	0.00005
651680	08037	11428270.94	37476.72314	0.00328
651681	08037	11428270.94	455.8229902	0.00004
652734	08037	11428270.94	916.0175993	0.00008
652735	08037	11428270.94	80283.38824	0.00702
652736	08037	11428270.94	36261.9467	0.00317
652738	08037	11428270.94	47544.47491	0.00416
652739	08037	11428270.94	6212.71256	0.00054
653793	08037	11428270.94	20697.76492	0.00181
653794	08037	11428270.94	91972.40574	0.00805
653795	08037	11428270.94	201203.3413	0.01761
653796	08037	11428270.94	9601.695714	0.00084
653797	08037	11428270.94	51867.13278	0.00454
654847	08037	11428270.94	531.5213284	0.00005
654848	08037	11428270.94	20031.25764	0.00175
654849	08037	11428270.94	40917.75705	0.00358
654850	08037	11428270.94	134285.6162	0.01175
654851	08037	11428270.94	36825.01339	0.00322
654852	08037	11428270.94	218330.7995	0.01910
654853	08037	11428270.94	261277.6247	0.02286
654854	08037	11428270.94	269482.0416	0.02358
654855	08037	11428270.94	144191.0682	0.01262
654856	08037	11428270.94	35271.23089	0.00309
655905	08037	11428270.94	10419.33957	0.00091
655906	08037	11428270.94	95197.25544	0.00833
655907	08037	11428270.94	156267.2326	0.01367
655908	08037	11428270.94	57274.08125	0.00501
655909	08037	11428270.94	179645.4419	0.01572
655910	08037	11428270.94	178105.9728	0.01558
655911	08037	11428270.94	288261.7065	0.02522
655912	08037	11428270.94	293864.6186	0.02571
655913	08037	11428270.94	343788.3714	0.03008
655914	08037	11428270.94	300703.3819	0.02631
655915	08037	11428270.94	12992.71457	0.00114
656964	08037	11428270.94	5400.635261	0.00047
656965	08037	11428270.94	74775.36658	0.00654
656966	08037	11428270.94	12247.04015	0.00107
656967	08037	11428270.94	2018.484286	0.00018
656968	08037	11428270.94	57631.14366	0.00504
656969	08037	11428270.94	128253.1992	0.01122
656970	08037	11428270.94	289900.5087	0.02537
656971	08037	11428270.94	354976.4866	0.03106
656972	08037	11428270.94	321362.133	0.02812
656973	08037	11428270.94	104380.4936	0.00913
658026	08037	11428270.94	8524.957909	0.00075
658027	08037	11428270.94	296456.4406	0.02594
658028	08037	11428270.94	347975.6454	0.03045
658029	08037	11428270.94	343008.1688	0.03001
658030	08037	11428270.94	283102.601	0.02477
658031	08037	11428270.94	167647.6255	0.01467
658032	08037	11428270.94	11880.76951	0.00104
659085	08037	11428270.94	31679.21186	0.00277
659086	08037	11428270.94	322614.131	0.02823
659087	08037	11428270.94	296727.6338	0.02596
659088	08037	11428270.94	254114.1809	0.02224
659089	08037	11428270.94	230237.4291	0.02015
659090	08037	11428270.94	165402.9466	0.01447
660143	08037	11428270.94	79694.15174	0.00697
660144	08037	11428270.94	332417.9713	0.02909
660145	08037	11428270.94	424466.8324	0.03714
660146	08037	11428270.94	348549.2985	0.03050
660147	08037	11428270.94	251289.1929	0.02199
660148	08037	11428270.94	167976.2307	0.01470
660149	08037	11428270.94	3356.507588	0.00029
661202	08037	11428270.94	162878.2031	0.01425
661203	08037	11428270.94	492804.5492	0.04312
661204	08037	11428270.94	332249.7035	0.02907
661205	08037	11428270.94	269934.7841	0.02362
661206	08037	11428270.94	182271.0155	0.01595
661207	08037	11428270.94	42977.9107	0.00376
662259	08037	11428270.94	597.2464357	0.00005
662260	08037	11428270.94	118763.9306	0.01039
662261	08037	11428270.94	142700.3905	0.01249
662262	08037	11428270.94	177144.7711	0.01550
662263	08037	11428270.94	855.3542691	0.00007
662264	08037	11428270.94	21881.58643	0.00191
663318	08037	11428270.94	1664.575832	0.00015
663319	08037	11428270.94	20464.90823	0.00179
663320	08037	11428270.94	6921.855122	0.00061
